Izin_Adi,Tam_Deger,Koruma_Seviyesi,Aciklama
ACCOUNT_MANAGER,android.permission.ACCOUNT_MANAGER,Unknown,"Allows applications to call into AccountAuthenticators. Not for use by third-party applications. Constant Value: ""android.permission.ACCOUNT_MANAGER"""
ACTIVITY_RECOGNITION,android.permission.ACTIVITY_RECOGNITION,dangerous,"Allows an application to recognize physical activity. Protection level: dangerous Constant Value: ""android.permission.ACTIVITY_RECOGNITION"""
ADD_VOICEMAIL,android.permission.ADD_VOICEMAIL,dangerous,"Allows an application to add voicemails into the system. Protection level: dangerous Constant Value: ""com.android.voicemail.permission.ADD_VOICEMAIL"""
ANSWER_PHONE_CALLS,android.permission.ANSWER_PHONE_CALLS,dangerous,"Allows the app to answer an incoming phone call. Protection level: dangerous Constant Value: ""android.permission.ANSWER_PHONE_CALLS"""
APPLY_PICTURE_PROFILE,android.permission.APPLY_PICTURE_PROFILE,Unknown,"Allows an app to apply a ERROR(/MediaQualityManager.PictureProfile) to a layer via ERROR(/MediaCodec.PARAMETER_KEY_PICTURE_PROFILE) and, additionally, system apps via ERROR(/SurfaceControl.Transaction#setPictureProfileHandle) . Constant Value: ""android.permission.APPLY_PICTURE_PROFILE"""
BATTERY_STATS,android.permission.BATTERY_STATS,signature,"Allows an application to collect battery statistics Protection level: signature|privileged|development Constant Value: ""android.permission.BATTERY_STATS"""
BIND_ACCESSIBILITY_SERVICE,android.permission.BIND_ACCESSIBILITY_SERVICE,signature,"Must be required by an AccessibilityService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_ACCESSIBILITY_SERVICE"""
BIND_APPWIDGET,android.permission.BIND_APPWIDGET,Unknown,"Allows an application to tell the AppWidget service which application can access AppWidget's data. The normal user flow is that a user picks an AppWidget to go into a particular host, thereby giving that host application access to the private data from the AppWidget app. An application that has this permission should honor that contract. Not for use by third-party applications. Constant Value: ""android.permission.BIND_APPWIDGET"""
BIND_APP_FUNCTION_SERVICE,android.permission.BIND_APP_FUNCTION_SERVICE,signature,"Must be required by an AppFunctionService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_APP_FUNCTION_SERVICE"""
BIND_AUTOFILL_SERVICE,android.permission.BIND_AUTOFILL_SERVICE,signature,"Must be required by a AutofillService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_AUTOFILL_SERVICE"""
BIND_CALL_REDIRECTION_SERVICE,android.permission.BIND_CALL_REDIRECTION_SERVICE,signature,"Must be required by a CallRedirectionService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_CALL_REDIRECTION_SERVICE"""
BIND_CARRIER_MESSAGING_CLIENT_SERVICE,android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE,signature,"A subclass of CarrierMessagingClientService must be protected with this permission. Protection level: signature Constant Value: ""android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE"""
BIND_CARRIER_MESSAGING_SERVICE,android.permission.BIND_CARRIER_MESSAGING_SERVICE,Unknown,"Deprecated in API level 23 This constant was deprecated in API level 23. Use BIND_CARRIER_SERVICES instead Constant Value: ""android.permission.BIND_CARRIER_MESSAGING_SERVICE"""
BIND_CARRIER_SERVICES,android.permission.BIND_CARRIER_SERVICES,signature,"The system process that is allowed to bind to services in carrier apps will have this permission. Carrier apps should use this permission to protect their services that only the system is allowed to bind to. Protection level: signature|privileged Constant Value: ""android.permission.BIND_CARRIER_SERVICES"""
BIND_CHOOSER_TARGET_SERVICE,android.permission.BIND_CHOOSER_TARGET_SERVICE,signature,"Deprecated in API level 30 This constant was deprecated in API level 30. For publishing direct share targets, please follow the instructions in https://developer.android.com/training/sharing/receive.html#providing-direct-share-targets instead. Must be required by a ChooserTargetService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_CHOOSER_TARGET_SERVICE"""
BIND_COMPANION_DEVICE_SERVICE,android.permission.BIND_COMPANION_DEVICE_SERVICE,Unknown,"Must be required by any CompanionDeviceService s to ensure that only the system can bind to it. Constant Value: ""android.permission.BIND_COMPANION_DEVICE_SERVICE"""
BIND_CONDITION_PROVIDER_SERVICE,android.permission.BIND_CONDITION_PROVIDER_SERVICE,signature,"Must be required by a ConditionProviderService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_CONDITION_PROVIDER_SERVICE"""
BIND_CONTROLS,android.permission.BIND_CONTROLS,Unknown,"Allows SystemUI to request third party controls. Should only be requested by the System and required by ControlsProviderService declarations. Constant Value: ""android.permission.BIND_CONTROLS"""
BIND_CREDENTIAL_PROVIDER_SERVICE,android.permission.BIND_CREDENTIAL_PROVIDER_SERVICE,signature,"Must be required by a CredentialProviderService to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_CREDENTIAL_PROVIDER_SERVICE"""
BIND_DEVICE_ADMIN,android.permission.BIND_DEVICE_ADMIN,signature,"Must be required by device administration receiver, to ensure that only the system can interact with it. Protection level: signature Constant Value: ""android.permission.BIND_DEVICE_ADMIN"""
BIND_DREAM_SERVICE,android.permission.BIND_DREAM_SERVICE,signature,"Must be required by an DreamService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_DREAM_SERVICE"""
BIND_INCALL_SERVICE,android.permission.BIND_INCALL_SERVICE,signature,"Must be required by a InCallService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_INCALL_SERVICE"""
BIND_INPUT_METHOD,android.permission.BIND_INPUT_METHOD,signature,"Must be required by an InputMethodService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_INPUT_METHOD"""
BIND_MIDI_DEVICE_SERVICE,android.permission.BIND_MIDI_DEVICE_SERVICE,signature,"Must be required by an MidiDeviceService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_MIDI_DEVICE_SERVICE"""
BIND_NFC_SERVICE,android.permission.BIND_NFC_SERVICE,signature,"Must be required by a HostApduService or OffHostApduService to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_NFC_SERVICE"""
BIND_NOTIFICATION_LISTENER_SERVICE,android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,signature,"Must be required by an NotificationListenerService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_NOTIFICATION_LISTENER_SERVICE"""
BIND_PRINT_SERVICE,android.permission.BIND_PRINT_SERVICE,signature,"Must be required by a PrintService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_PRINT_SERVICE"""
BIND_QUICK_ACCESS_WALLET_SERVICE,android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE,signature,"Must be required by a QuickAccessWalletService to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE"""
BIND_QUICK_SETTINGS_TILE,android.permission.BIND_QUICK_SETTINGS_TILE,Unknown,"Allows an application to bind to third party quick settings tiles. Should only be requested by the System, should be required by TileService declarations. Constant Value: ""android.permission.BIND_QUICK_SETTINGS_TILE"""
BIND_REMOTEVIEWS,android.permission.BIND_REMOTEVIEWS,signature,"Must be required by a RemoteViewsService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_REMOTEVIEWS"""
BIND_SCREENING_SERVICE,android.permission.BIND_SCREENING_SERVICE,signature,"Must be required by a CallScreeningService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_SCREENING_SERVICE"""
BIND_TELECOM_CONNECTION_SERVICE,android.permission.BIND_TELECOM_CONNECTION_SERVICE,signature,"Must be required by a ConnectionService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_TELECOM_CONNECTION_SERVICE"""
BIND_TEXT_SERVICE,android.permission.BIND_TEXT_SERVICE,signature,"Must be required by a TextService (e.g. SpellCheckerService) to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_TEXT_SERVICE"""
BIND_TV_AD_SERVICE,android.permission.BIND_TV_AD_SERVICE,signature,"Must be required by a android.media.tv.ad.TvAdService to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_TV_AD_SERVICE"""
BIND_TV_INPUT,android.permission.BIND_TV_INPUT,signature,"Must be required by a TvInputService to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_TV_INPUT"""
BIND_TV_INTERACTIVE_APP,android.permission.BIND_TV_INTERACTIVE_APP,signature,"Must be required by a TvInteractiveAppService to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_TV_INTERACTIVE_APP"""
BIND_VISUAL_VOICEMAIL_SERVICE,android.permission.BIND_VISUAL_VOICEMAIL_SERVICE,signature,"Must be required by a link VisualVoicemailService to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_VISUAL_VOICEMAIL_SERVICE"""
BIND_VOICE_INTERACTION,android.permission.BIND_VOICE_INTERACTION,signature,"Must be required by a VoiceInteractionService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_VOICE_INTERACTION"""
BIND_VPN_SERVICE,android.permission.BIND_VPN_SERVICE,signature,"Must be required by a VpnService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_VPN_SERVICE"""
BIND_VR_LISTENER_SERVICE,android.permission.BIND_VR_LISTENER_SERVICE,signature,"Must be required by an VrListenerService , to ensure that only the system can bind to it. Protection level: signature Constant Value: ""android.permission.BIND_VR_LISTENER_SERVICE"""
BIND_WALLPAPER,android.permission.BIND_WALLPAPER,signature,"Must be required by a WallpaperService , to ensure that only the system can bind to it. Protection level: signature|privileged Constant Value: ""android.permission.BIND_WALLPAPER"""
BLUETOOTH_ADMIN,android.permission.BLUETOOTH_ADMIN,normal,"Allows applications to discover and pair bluetooth devices. Protection level: normal Constant Value: ""android.permission.BLUETOOTH_ADMIN"""
BLUETOOTH_ADVERTISE,android.permission.BLUETOOTH_ADVERTISE,dangerous,"Required to be able to advertise to nearby Bluetooth devices. Protection level: dangerous Constant Value: ""android.permission.BLUETOOTH_ADVERTISE"""
BLUETOOTH_CONNECT,android.permission.BLUETOOTH_CONNECT,dangerous,"Required to be able to connect to paired Bluetooth devices. Protection level: dangerous Constant Value: ""android.permission.BLUETOOTH_CONNECT"""
BLUETOOTH_PRIVILEGED,android.permission.BLUETOOTH_PRIVILEGED,Unknown,"Allows applications to pair bluetooth devices without user interaction, and to allow or disallow phonebook access or message access. Not for use by third-party applications. Constant Value: ""android.permission.BLUETOOTH_PRIVILEGED"""
BLUETOOTH_SCAN,android.permission.BLUETOOTH_SCAN,dangerous,"Required to be able to discover and pair nearby Bluetooth devices. Protection level: dangerous Constant Value: ""android.permission.BLUETOOTH_SCAN"""
BODY_SENSORS,android.permission.BODY_SENSORS,dangerous,"Allows an application to access data from sensors that the user uses to measure what is happening inside their body, such as heart rate. Protection level: dangerous Constant Value: ""android.permission.BODY_SENSORS"""
BODY_SENSORS_BACKGROUND,android.permission.BODY_SENSORS_BACKGROUND,dangerous,"Allows an application to access data from sensors that the user uses to measure what is happening inside their body, such as heart rate. If you're requesting this permission, you must also request BODY_SENSORS . Requesting this permission by itself doesn't give you Body sensors access. Protection level: dangerous This is a hard restricted permission which cannot be held by an app until the installer on record allowlists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set) . Constant Value: ""android.permission.BODY_SENSORS_BACKGROUND"""
BROADCAST_PACKAGE_REMOVED,android.permission.BROADCAST_PACKAGE_REMOVED,Unknown,"Allows an application to broadcast a notification that an application package has been removed. Not for use by third-party applications. Constant Value: ""android.permission.BROADCAST_PACKAGE_REMOVED"""
BROADCAST_SMS,android.permission.BROADCAST_SMS,Unknown,"Allows an application to broadcast an SMS receipt notification. Not for use by third-party applications. Constant Value: ""android.permission.BROADCAST_SMS"""
BROADCAST_STICKY,android.permission.BROADCAST_STICKY,normal,"Allows an application to broadcast sticky intents. These are broadcasts whose data is held by the system after being finished, so that clients can quickly retrieve that data without having to wait for the next broadcast. Protection level: normal Constant Value: ""android.permission.BROADCAST_STICKY"""
BROADCAST_WAP_PUSH,android.permission.BROADCAST_WAP_PUSH,Unknown,"Allows an application to broadcast a WAP PUSH receipt notification. Not for use by third-party applications. Constant Value: ""android.permission.BROADCAST_WAP_PUSH"""
CALL_COMPANION_APP,android.permission.CALL_COMPANION_APP,normal,"Allows an app which implements the InCallService API to be eligible to be enabled as a calling companion app. This means that the Telecom framework will bind to the app's InCallService implementation when there are calls active. The app can use the InCallService API to view information about calls on the system and control these calls. Protection level: normal Constant Value: ""android.permission.CALL_COMPANION_APP"""
CALL_PHONE,android.permission.CALL_PHONE,dangerous,"Allows an application to initiate a phone call without going through the Dialer user interface for the user to confirm the call. Note: An app holding this permission can also call carrier MMI codes to change settings such as call forwarding or call waiting preferences. Protection level: dangerous Constant Value: ""android.permission.CALL_PHONE"""
CALL_PRIVILEGED,android.permission.CALL_PRIVILEGED,Unknown,"Allows an application to call any phone number, including emergency numbers, without going through the Dialer user interface for the user to confirm the call being placed. Not for use by third-party applications. Constant Value: ""android.permission.CALL_PRIVILEGED"""
CAPTURE_AUDIO_OUTPUT,android.permission.CAPTURE_AUDIO_OUTPUT,Unknown,"Allows an application to capture audio output. Use the CAPTURE_MEDIA_OUTPUT permission if only the USAGE_UNKNOWN ), USAGE_MEDIA ) or USAGE_GAME ) usages are intended to be captured. Not for use by third-party applications. Constant Value: ""android.permission.CAPTURE_AUDIO_OUTPUT"""
CAPTURE_KEYBOARD,android.permission.CAPTURE_KEYBOARD,normal,"CAPTURE_KEYBOARD Added in version 36.1 Allows the currently focused application to be able to consume keys before Android system get chance to process system keys and shortcuts. The keys are always sent to the currently focussed application, this permission allows the focussed application to receive the keys that are normally consumed by the system for shortcuts, allowing it to have custom shortcut behavior primarily for use cases like virtual machine apps where the host OS wants to handle the shortcuts differently. Certain shortcuts and system keys like Home, Overview, Power, etc are never sent to the currently focused application and are always consumed by the system. User can escape out of the capture mode by long pressing the Escape key or simply navigating out of the application. Protection level: normal See also: WindowManager.LayoutParams.setKeyboardCaptureEnabled(boolean) Constant Value: ""android.permission.CAPTURE_KEYBOARD"""
CHANGE_COMPONENT_ENABLED_STATE,android.permission.CHANGE_COMPONENT_ENABLED_STATE,Unknown,"Allows an application to change whether an application component (other than its own) is enabled or not. Not for use by third-party applications. Constant Value: ""android.permission.CHANGE_COMPONENT_ENABLED_STATE"""
CHANGE_CONFIGURATION,android.permission.CHANGE_CONFIGURATION,signature,"Allows an application to modify the current configuration, such as locale. Protection level: signature|privileged|development Constant Value: ""android.permission.CHANGE_CONFIGURATION"""
CHANGE_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,normal,"Allows applications to change network connectivity state. Protection level: normal Constant Value: ""android.permission.CHANGE_NETWORK_STATE"""
CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,normal,"Allows applications to enter Wi-Fi Multicast mode. Protection level: normal Constant Value: ""android.permission.CHANGE_WIFI_MULTICAST_STATE"""
CHANGE_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,normal,"Allows applications to change Wi-Fi connectivity state. Protection level: normal Constant Value: ""android.permission.CHANGE_WIFI_STATE"""
CLEAR_APP_CACHE,android.permission.CLEAR_APP_CACHE,signature,"Allows an application to clear the caches of all installed applications on the device. Protection level: signature|privileged Constant Value: ""android.permission.CLEAR_APP_CACHE"""
CONFIGURE_WIFI_DISPLAY,android.permission.CONFIGURE_WIFI_DISPLAY,Unknown,"Allows an application to configure and connect to Wifi displays Constant Value: ""android.permission.CONFIGURE_WIFI_DISPLAY"""
CONTROL_LOCATION_UPDATES,android.permission.CONTROL_LOCATION_UPDATES,Unknown,"Allows enabling/disabling location update notifications from the radio. Not for use by third-party applications. Constant Value: ""android.permission.CONTROL_LOCATION_UPDATES"""
CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,normal,"Allows a browser to invoke the set of query apis to get metadata about credential candidates prepared during the CredentialManager.prepareGetCredential API. Protection level: normal Constant Value: ""android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS"""
CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,android.permission.CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,normal,"Allows specifying candidate credential providers to be queried in Credential Manager get flows, or to be preferred as a default in the Credential Manager create flows. Protection level: normal Constant Value: ""android.permission.CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS"""
CREDENTIAL_MANAGER_SET_ORIGIN,android.permission.CREDENTIAL_MANAGER_SET_ORIGIN,normal,"Allows a browser to invoke credential manager APIs on behalf of another RP. Protection level: normal Constant Value: ""android.permission.CREDENTIAL_MANAGER_SET_ORIGIN"""
DELETE_CACHE_FILES,android.permission.DELETE_CACHE_FILES,signature,"Old permission for deleting an app's cache files, no longer used, but signals for us to quietly ignore calls instead of throwing an exception. Protection level: signature|privileged Constant Value: ""android.permission.DELETE_CACHE_FILES"""
DELETE_PACKAGES,android.permission.DELETE_PACKAGES,Unknown,"Allows an application to delete packages. Not for use by third-party applications. Starting in Build.VERSION_CODES.N , user confirmation is requested when the application deleting the package is not the same application that installed the package. Constant Value: ""android.permission.DELETE_PACKAGES"""
DELIVER_COMPANION_MESSAGES,android.permission.DELIVER_COMPANION_MESSAGES,Unknown,"Allows an application to deliver companion messages to system Constant Value: ""android.permission.DELIVER_COMPANION_MESSAGES"""
DETECT_SCREEN_CAPTURE,android.permission.DETECT_SCREEN_CAPTURE,normal,"Allows an application to get notified when a screen capture of its windows is attempted. Protection level: normal Constant Value: ""android.permission.DETECT_SCREEN_CAPTURE"""
DETECT_SCREEN_RECORDING,android.permission.DETECT_SCREEN_RECORDING,normal,"Allows an application to get notified when it is being recorded. Protection level: normal Constant Value: ""android.permission.DETECT_SCREEN_RECORDING"""
DISABLE_KEYGUARD,android.permission.DISABLE_KEYGUARD,normal,"Allows applications to disable the keyguard if it is not secure. Protection level: normal Constant Value: ""android.permission.DISABLE_KEYGUARD"""
ENFORCE_UPDATE_OWNERSHIP,android.permission.ENFORCE_UPDATE_OWNERSHIP,normal,"Allows an application to indicate via PackageInstaller.SessionParams.setRequestUpdateOwnership(boolean) that it has the intention of becoming the update owner. Protection level: normal Constant Value: ""android.permission.ENFORCE_UPDATE_OWNERSHIP"""
EXECUTE_APP_ACTION,android.permission.EXECUTE_APP_ACTION,internal,"Allows an assistive application to perform actions on behalf of users inside of applications. For now, this permission is only granted to the Assistant application selected by the user. Protection level: internal|role Constant Value: ""android.permission.EXECUTE_APP_ACTION"""
EXECUTE_APP_FUNCTIONS,android.permission.EXECUTE_APP_FUNCTIONS,internal,"Allows an application to perform actions on behalf of users inside of applications. This permission is currently only granted to privileged system apps. Protection level: internal|privileged Constant Value: ""android.permission.EXECUTE_APP_FUNCTIONS"""
EXPAND_STATUS_BAR,android.permission.EXPAND_STATUS_BAR,normal,"Allows an application to expand or collapse the status bar. Protection level: normal Constant Value: ""android.permission.EXPAND_STATUS_BAR"""
FACTORY_TEST,android.permission.FACTORY_TEST,Unknown,"Run as a manufacturer test application, running as the root user. Only available when the device is running in manufacturer test mode. Not for use by third-party applications. Constant Value: ""android.permission.FACTORY_TEST"""
FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE,normal,"Allows a regular application to use Service.startForeground . Protection level: normal Constant Value: ""android.permission.FOREGROUND_SERVICE"""
FOREGROUND_SERVICE_CAMERA,android.permission.FOREGROUND_SERVICE_CAMERA,normal,"Allows a regular application to use Service.startForeground with the type ""camera"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_CAMERA"""
FOREGROUND_SERVICE_CONNECTED_DEVICE,android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,normal,"Allows a regular application to use Service.startForeground with the type ""connectedDevice"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE"""
FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_DATA_SYNC,normal,"Allows a regular application to use Service.startForeground with the type ""dataSync"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_DATA_SYNC"""
FOREGROUND_SERVICE_HEALTH,android.permission.FOREGROUND_SERVICE_HEALTH,normal,"Allows a regular application to use Service.startForeground with the type ""health"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_HEALTH"""
FOREGROUND_SERVICE_LOCATION,android.permission.FOREGROUND_SERVICE_LOCATION,normal,"Allows a regular application to use Service.startForeground with the type ""location"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_LOCATION"""
FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,normal,"Allows a regular application to use Service.startForeground with the type ""mediaPlayback"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK"""
FOREGROUND_SERVICE_MEDIA_PROCESSING,android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING,normal,"Allows a regular application to use Service.startForeground with the type ""mediaProcessing"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING"""
FOREGROUND_SERVICE_MEDIA_PROJECTION,android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,normal,"Allows a regular application to use Service.startForeground with the type ""mediaProjection"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION"""
FOREGROUND_SERVICE_MICROPHONE,android.permission.FOREGROUND_SERVICE_MICROPHONE,normal,"Allows a regular application to use Service.startForeground with the type ""microphone"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_MICROPHONE"""
FOREGROUND_SERVICE_PHONE_CALL,android.permission.FOREGROUND_SERVICE_PHONE_CALL,normal,"Allows a regular application to use Service.startForeground with the type ""phoneCall"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_PHONE_CALL"""
FOREGROUND_SERVICE_REMOTE_MESSAGING,android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING,normal,"Allows a regular application to use Service.startForeground with the type ""remoteMessaging"". Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING"""
FOREGROUND_SERVICE_SPECIAL_USE,android.permission.FOREGROUND_SERVICE_SPECIAL_USE,normal,"Allows a regular application to use Service.startForeground with the type ""specialUse"". Protection level: normal|appop|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_SPECIAL_USE"""
FOREGROUND_SERVICE_SYSTEM_EXEMPTED,android.permission.FOREGROUND_SERVICE_SYSTEM_EXEMPTED,normal,"Allows a regular application to use Service.startForeground with the type ""systemExempted"". Apps are allowed to use this type only in the use cases listed in ServiceInfo.FOREGROUND_SERVICE_TYPE_SYSTEM_EXEMPTED . Protection level: normal|instant Constant Value: ""android.permission.FOREGROUND_SERVICE_SYSTEM_EXEMPTED"""
GET_ACCOUNTS,android.permission.GET_ACCOUNTS,dangerous,"Allows access to the list of accounts in the Accounts Service. Note: Beginning with Android 6.0 (API level 23), if an app shares the signature of the authenticator that manages an account, it does not need ""GET_ACCOUNTS"" permission to read information about that account. On Android 5.1 and lower, all apps need ""GET_ACCOUNTS"" permission to read information about any account. Protection level: dangerous Constant Value: ""android.permission.GET_ACCOUNTS"""
