App Name,Total Score,Installs,Review Matches TR,Review Matches EN,Desc Matches,Package Name,,Score,URL
Army Fitness Calculator,51,10000,,"ACFT, army fitness","PFT, ACFT, army fitness",com.armynoncomtools.acft_calculator,,,https://play.google.com/store/apps/details?id=com.armynoncomtools.acft_calculator&hl=tr&gl=tr
KILO2400ABS,49,10000,,"Ballistics, strelok, MOA, in the field, Rangefinder",Rangefinder,com.sigsauer.kilo2400.ab,,0,https://play.google.com/store/apps/details?id=com.sigsauer.kilo2400.ab&hl=tr&gl=tr
My Virtual Mission,47,100000,fitness,mission,mission,com.myvirtualmission.android,,0,https://play.google.com/store/apps/details?id=com.myvirtualmission.android&hl=tr&gl=tr
ATAK Plugin: Hammer,44,10000,,atak,atak,com.atakmap.android.cot_utility.plugin,,3.5714285,https://play.google.com/store/apps/details?id=com.atakmap.android.cot_utility.plugin&hl=tr&gl=tr
Kestrel LiNK® Ballistics,43,50000,,"Dope Card, Ballistics",Ballistics,com.nkhome.link.ballistics,,4.5,https://play.google.com/store/apps/details?id=com.nkhome.link.ballistics&hl=tr&gl=tr
ARKEN Ballistics,42,10000,,"strelok, Ballistics, MOA",,com.pangu.devgpl,,,https://play.google.com/store/apps/details?id=com.pangu.devgpl&hl=tr&gl=tr
GeoBallistics,40,100000,,"strelok, Ballistics, MOA, Rangefinder","Ballistics, KOORDINAT",com.geoballistics.ballisticsarc,,,https://play.google.com/store/apps/details?id=com.geoballistics.ballisticsarc&hl=tr&gl=tr
GPS Waypoints Navigator | MAPS,40,50000,KOORDINAT,WAYPOINT,"UTM, KOORDINAT, MGRS",com.discipleskies.android.gpswaypointsnavigator,,4.1578946,https://play.google.com/store/apps/details?id=com.discipleskies.android.gpswaypointsnavigator&hl=tr&gl=tr
Map Coordinates,40,5000000,"UTM, KOORDINAT",,"UTM, KOORDINAT, MGRS",sands.mapCoordinates.android,,4.27,https://play.google.com/store/apps/details?id=sands.mapCoordinates.android&hl=tr&gl=tr
Applied Ballistics Quantum,39,50000,Ballistics,"Dope Card, strelok, Ballistics, mission",Ballistics,com.appliedballisticsllc.appliedballistics,,4.2,https://play.google.com/store/apps/details?id=com.appliedballisticsllc.appliedballistics&hl=tr&gl=tr
UTM Geo Map,38,1000000,KOORDINAT,,"UTM, KOORDINAT, MGRS",info.yogantara.utmgeomap,,4.09,https://play.google.com/store/apps/details?id=info.yogantara.utmgeomap&hl=tr&gl=tr
Ballistics Buddy,38,100000,,"Dope Card, Ballistics, MOA",,app.BallisticsBuddy,,3.857143,https://play.google.com/store/apps/details?id=app.BallisticsBuddy&hl=tr&gl=tr
Lat/Long & UTM,38,100000,,"UTM, ISR","UTM, KOORDINAT, MGRS",org.project.wgs84utm,,5,https://play.google.com/store/apps/details?id=org.project.wgs84utm&hl=tr&gl=tr
GPS Waypoints,35,500000,,"UTM, mission, WAYPOINT","WAYPOINT, KOORDINAT",pt.bluecover.gpsegnos,,4,https://play.google.com/store/apps/details?id=pt.bluecover.gpsegnos&hl=tr&gl=tr
ESChat (Push-to-Talk),32,100000,,"Push to Talk, mission, OPSEC",,com.slacorp.eptt.android,,,https://play.google.com/store/apps/details?id=com.slacorp.eptt.android&hl=tr&gl=tr
Lapua Ballistics,31,100000,,"strelok, MOA",birlik,com.Lapua.LapuaBallistics,,3.6875,https://play.google.com/store/apps/details?id=com.Lapua.LapuaBallistics&hl=tr&gl=tr
AFT,30,10000,,"ACFT, PT test",ACFT,org.acftcalculator.acft,,,https://play.google.com/store/apps/details?id=org.acftcalculator.acft&hl=tr&gl=tr
Deployment Tracker,30,10000,,"OPSEC, deployment, Deployment Countdown",,com.tortel.deploytrack,,,https://play.google.com/store/apps/details?id=com.tortel.deploytrack&hl=tr&gl=tr
Coordinate Master,29,1000,UTM,"UTM, in the field","UTM, KOORDINAT, MGRS",binaryearth.coordsystool,,0,https://play.google.com/store/apps/details?id=binaryearth.coordsystool&hl=tr&gl=tr
Leica Ballistics,27,10000,,"Ballistics, in the field, Rangefinder",Ballistics,com.leicacamera.leicaballistics.ab,,4.5,https://play.google.com/store/apps/details?id=com.leicacamera.leicaballistics.ab&hl=tr&gl=tr
ATAKGo,27,5000,,"atak, mission","atak, birlik",com.atakmap.android.atakgo.dji,,,https://play.google.com/store/apps/details?id=com.atakmap.android.atakgo.dji&hl=tr&gl=tr
Ballistics,27,50000,,"strelok, Ballistics, MOA, mission",Ballistics,com.nimoh.ballistics,,0,https://play.google.com/store/apps/details?id=com.nimoh.ballistics&hl=tr&gl=tr
Nato Phonetic Alphabet,26,10000,,Phonetic Alphabet,,com.app.phoneticalphabet,,0,https://play.google.com/store/apps/details?id=com.app.phoneticalphabet&hl=tr&gl=tr
MGRS UTM GPS,26,100000,,"UTM, Surveillance, MGRS","UTM, KOORDINAT, birlik, MGRS",info.yogantara.yytestgps,,3.8,https://play.google.com/store/apps/details?id=info.yogantara.yytestgps&hl=tr&gl=tr
UTM Converter,25,50000,,UTM,"UTM, KOORDINAT",com.hauvv.utmconverter,,,https://play.google.com/store/apps/details?id=com.hauvv.utmconverter&hl=tr&gl=tr
Revic Ops,24,5000,,"Ballistics, MOA, Rangefinder",,us.revic.revicops,,,https://play.google.com/store/apps/details?id=us.revic.revicops&hl=tr&gl=tr
ACFT ELITE,24,10,,ACFT,"kondisyon testi, ACFT, birlik",com.vemdigital.eliteacft,,,https://play.google.com/store/apps/details?id=com.vemdigital.eliteacft&hl=tr&gl=tr
Element Ballistics,23,10000,,"strelok, Ballistics, MOA",Ballistics,com.microballistics.elementballistics,,4,https://play.google.com/store/apps/details?id=com.microballistics.elementballistics&hl=tr&gl=tr
My Ballistics,23,10000,,"Ballistics, MOA, Rangefinder",Ballistics,my.ballistics,,,https://play.google.com/store/apps/details?id=my.ballistics&hl=tr&gl=tr
Verizon Push to Talk Plus,23,500000,,"Push to Talk, mission",Push to Talk,com.verizon.pushtotalkplus,,,https://play.google.com/store/apps/details?id=com.verizon.pushtotalkplus&hl=tr&gl=tr
ATAK Plugin: Vx,22,10000,,atak,atak,com.atakmap.android.gbr.vx.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.vx.plugin&hl=tr&gl=tr
Mapy.com: Offline hiking maps,22,10000000,,"mission, OFFLINE MAP",KOORDINAT,cz.seznam.mapy,,4.48,https://play.google.com/store/apps/details?id=cz.seznam.mapy&hl=tr&gl=tr
ATAK Plugin: WASP,21,10000,,atak,"atak, operasyon",com.atakmap.android.wasp.plugin,,4.1,https://play.google.com/store/apps/details?id=com.atakmap.android.wasp.plugin&hl=tr&gl=tr
ATAK Plugin: TDAL,21,5000,,,"atak, KOORDINAT, MGRS",com.atakmap.android.bng.plugin,,0,https://play.google.com/store/apps/details?id=com.atakmap.android.bng.plugin&hl=tr&gl=tr
Exif Eraser,20,50000,,mission,,com.none.tom.exiferaser,,0,https://play.google.com/store/apps/details?id=com.none.tom.exiferaser&hl=tr&gl=tr
onX Hunt: Offline Hunting Maps,20,5000000,,"WAYPOINT, in the field",,onxmaps.hunt,,0,https://play.google.com/store/apps/details?id=onxmaps.hunt&hl=tr&gl=tr
ProPTT2 Video Push-To-Talk,19,100000,,mission,birlik,com.imptt.proptt,,3.625,https://play.google.com/store/apps/details?id=com.imptt.proptt&hl=tr&gl=tr
Horus Ballistics,18,5000,,"Ballistics, strelok",,com.horusballistics,,,https://play.google.com/store/apps/details?id=com.horusballistics&hl=tr&gl=tr
Learn NATO Phonetic Alphabet,18,10000,,"Phonetic Alphabet, mission",,digital.dong.natoalphabet,,0,https://play.google.com/store/apps/details?id=digital.dong.natoalphabet&hl=tr&gl=tr
ATAK Plugin: GRG Builder,18,10000,,"atak, mission","atak, MGRS",com.atakmap.android.grgbuilder.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.grgbuilder.plugin&hl=tr&gl=tr
SIG BDX,18,50000,,"strelok, MOA, Rangefinder, zeroing","MOA, Rangefinder",com.sigsauer.bdx,,3.8,https://play.google.com/store/apps/details?id=com.sigsauer.bdx&hl=tr&gl=tr
Impact Ballistics,17,1000,,"Dope Card, Ballistics, strelok","Ballistics, MOA",com.tract.tractoptics,,,https://play.google.com/store/apps/details?id=com.tract.tractoptics&hl=tr&gl=tr
UTM MGRS Map,16,10000,MGRS,UTM,"operasyon, UTM, KOORDINAT, MGRS",com.apps.utmfinder,,4.9411764,https://play.google.com/store/apps/details?id=com.apps.utmfinder&hl=tr&gl=tr
Gaia GPS: Offline Trail Maps,16,1000000,,"WAYPOINT, OFFLINE MAP","UTM, KOORDINAT, birlik",com.trailbehind.android.gaiagps.pro,,4.39,https://play.google.com/store/apps/details?id=com.trailbehind.android.gaiagps.pro&hl=tr&gl=tr
External ballistics calculator,15,50000,,"strelok, Ballistics, MOA",MOA,com.cacciato.balistic,,0,https://play.google.com/store/apps/details?id=com.cacciato.balistic&hl=tr&gl=tr
ATAKGoV5,15,5000,,"atak, mission","atak, birlik",com.atakmap.android.atakgov5.dji,,,https://play.google.com/store/apps/details?id=com.atakmap.android.atakgov5.dji&hl=tr&gl=tr
Gravity Ballistics,15,500,,Ballistics,Ballistics,com.gravityballistics.app,,,https://play.google.com/store/apps/details?id=com.gravityballistics.app&hl=tr&gl=tr
MGRS Offline Map Satellite,15,500,,,"operasyon, UTM, KOORDINAT, MGRS",com.midivision.mgrs_rectangle_offline_map,,,https://play.google.com/store/apps/details?id=com.midivision.mgrs_rectangle_offline_map&hl=tr&gl=tr
Offline Map Navigation,15,5000000,"UTM, OFFLINE MAP",,OFFLINE MAP,com.virtualmaze.offlinemapnavigationtracker,,4.29,https://play.google.com/store/apps/details?id=com.virtualmaze.offlinemapnavigationtracker&hl=tr&gl=tr
"ACFT Calculator: Score,Chart",14,1000,,,"PFT, kondisyon testi, ACFT, birlik",com.sight35.acft,,,https://play.google.com/store/apps/details?id=com.sight35.acft&hl=tr&gl=tr
WAYPOINT FITNESS,14,1000,,,"WAYPOINT, birlik",com.appworkout.fitbutler.waypoint,,,https://play.google.com/store/apps/details?id=com.appworkout.fitbutler.waypoint&hl=tr&gl=tr
Ballistic X,14,10000,,"MOA, mission","birlik, MOA",com.ballisticx.ballisticxapp,,0,https://play.google.com/store/apps/details?id=com.ballisticx.ballisticxapp&hl=tr&gl=tr
Army Fitness App,14,1000,,PT test,"PFT, ACFT",com.rrivenllc.armyfitnessapp,,,https://play.google.com/store/apps/details?id=com.rrivenllc.armyfitnessapp&hl=tr&gl=tr
GeoPoint: Waypoint Navigator,12,100,,,"UTM, KOORDINAT, WAYPOINT",com.sunmarcs.apps.waypointnavigator,,,https://play.google.com/store/apps/details?id=com.sunmarcs.apps.waypointnavigator&hl=tr&gl=tr
Hornady,12,500000,,Ballistics,,com.agilx.hornady,,4.8,https://play.google.com/store/apps/details?id=com.agilx.hornady&hl=tr&gl=tr
ArmyFit,12,100000,,ACFT,"UTM, ACFT",com.acftapp.acftlite,,,https://play.google.com/store/apps/details?id=com.acftapp.acftlite&hl=tr&gl=tr
Orion Push to Talk,12,10000,,mission,"birlik, operasyon",com.onbeep.obiwan,,,https://play.google.com/store/apps/details?id=com.onbeep.obiwan&hl=tr&gl=tr
ATAK Plugin: ATOS,11,1000,,,atak,com.atakmap.android.atos.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.atos.plugin&hl=tr&gl=tr
ATAK Plugin: PDF,11,5000,,,atak,com.atakmap.android.gbr.pdf.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.pdf.plugin&hl=tr&gl=tr
NuovoTeam - Push to Talk (PTT),10,10000,,Push to Talk,,com.promobitech.oneteam,,0,https://play.google.com/store/apps/details?id=com.promobitech.oneteam&hl=tr&gl=tr
ACFT Fitness,10,1000,,ACFT,ACFT,com.militarygradeapps.acftfitness,,,https://play.google.com/store/apps/details?id=com.militarygradeapps.acftfitness&hl=tr&gl=tr
G-Sight Laser Training Pro - A,10,50000,,mission,"birlik, combat",com.get.gsappalpha1,,,https://play.google.com/store/apps/details?id=com.get.gsappalpha1&hl=tr&gl=tr
Gymt - Fitness Workout Tracker,9,5000,"UTM, birlik",,UTM,com.vincero.workout,,5,https://play.google.com/store/apps/details?id=com.vincero.workout&hl=tr&gl=tr
Elite Ballistics,9,5000,,,"Ballistics, MOA",com.app.elite.ballistics,,,https://play.google.com/store/apps/details?id=com.app.elite.ballistics&hl=tr&gl=tr
Secret Mission FPS Game 3D,9,1000,,mission,"mission, operasyon",com.trilogix.fps.secret.mission,,,https://play.google.com/store/apps/details?id=com.trilogix.fps.secret.mission&hl=tr&gl=tr
Waypoint AI,9,10,,,WAYPOINT,com.appwaypoint,,,https://play.google.com/store/apps/details?id=com.appwaypoint&hl=tr&gl=tr
1943 Deadly Desert Premium,9,5000,,combat,birlik,com.hg.deadlydesert,,2.5714285,https://play.google.com/store/apps/details?id=com.hg.deadlydesert&hl=tr&gl=tr
C-RAM Simulator: Air defense,9,500000,,mission,operasyon,com.alvadigames.cram,,4.46,https://play.google.com/store/apps/details?id=com.alvadigames.cram&hl=tr&gl=tr
The Ranger App,9,1000,,ranger,ranger,com.imgzine.ffn,,,https://play.google.com/store/apps/details?id=com.imgzine.ffn&hl=tr&gl=tr
Waypoint® Parents App,9,500,,,"UTM, WAYPOINT, birlik",com.waypoint.parentapp,,,https://play.google.com/store/apps/details?id=com.waypoint.parentapp&hl=tr&gl=tr
Zello PTT Walkie Talkie,9,100000000,,"Push to Talk, squad",birlik,com.loudtalks,,4.1755395,https://play.google.com/store/apps/details?id=com.loudtalks&hl=tr&gl=tr
UTM Measure,8,50000,,UTM,KOORDINAT,com.yogantara.measure,,0,https://play.google.com/store/apps/details?id=com.yogantara.measure&hl=tr&gl=tr
McCalc®,8,100000,,in the field,,com.mcelroy.mccalc,,,https://play.google.com/store/apps/details?id=com.mcelroy.mccalc&hl=tr&gl=tr
World War Armies: WW2 PvP RTS,8,5000000,birlik,,birlik,com.Hypemasters.rts,,4.2288136,https://play.google.com/store/apps/details?id=com.Hypemasters.rts&hl=tr&gl=tr
Life On Mission,8,10000,,mission,mission,net.namb.lifeonmission,,,https://play.google.com/store/apps/details?id=net.namb.lifeonmission&hl=tr&gl=tr
The Battle of Polytopia,8,10000000,birlik,combat,,air.com.midjiwan.polytopia,,4.4558825,https://play.google.com/store/apps/details?id=air.com.midjiwan.polytopia&hl=tr&gl=tr
Plato: Fun Multiplayer Games,8,50000000,"UTM, birlik",,,com.plato.android,,4.5168066,https://play.google.com/store/apps/details?id=com.plato.android&hl=tr&gl=tr
World of Tanks Blitz™,8,100000000,,"tactical, mission",,net.wargaming.wot.blitz,,3.8255002,https://play.google.com/store/apps/details?id=net.wargaming.wot.blitz&hl=tr&gl=tr
Limbus Company,8,1000000,,combat,,com.ProjectMoon.LimbusCompany,,4.8396225,https://play.google.com/store/apps/details?id=com.ProjectMoon.LimbusCompany&hl=tr&gl=tr
Tanks Battlefield: PvP Battle,8,100000,battlefield,,battlefield,com.ForgeOfGames.TanksBattlefield,,4.2,https://play.google.com/store/apps/details?id=com.ForgeOfGames.TanksBattlefield&hl=tr&gl=tr
GSM Signal Monitor & SIM Info,8,500000,,mission,,paskov.biz.noservice,,3.76,https://play.google.com/store/apps/details?id=paskov.biz.noservice&hl=tr&gl=tr
Gettysburg Battlefield Tour,8,500,,,battlefield,com.shakaguide.android.gettysburg,,,https://play.google.com/store/apps/details?id=com.shakaguide.android.gettysburg&hl=tr&gl=tr
Yahoo Mail,8,100000000,,mission,,com.yahoo.mobile.client.android.mail,,4.570637,https://play.google.com/store/apps/details?id=com.yahoo.mobile.client.android.mail&hl=tr&gl=tr
Graphie - EXIF management,8,10000,,mission,,com.pavelrekun.graphie,,3.5714285,https://play.google.com/store/apps/details?id=com.pavelrekun.graphie&hl=tr&gl=tr
Bullet Echo: PVP Shooter,8,10000000,,tactical,,com.zeptolab.bulletecho.google,,4.350132,https://play.google.com/store/apps/details?id=com.zeptolab.bulletecho.google&hl=tr&gl=tr
Armed Heist: Shooting games,8,10000000,,mission,,com.sozap.badmen,,4.322231,https://play.google.com/store/apps/details?id=com.sozap.badmen&hl=tr&gl=tr
OYAK Mobil,8,500000,askeri personel,,,com.oyak.mobil,,3.8900635,https://play.google.com/store/apps/details?id=com.oyak.mobil&hl=tr&gl=tr
"Warhammer 40,000: Warpforge",8,500000,ISR,mission,,com.Everguild.WarhammerWarpforge,,4.55,https://play.google.com/store/apps/details?id=com.Everguild.WarhammerWarpforge&hl=tr&gl=tr
ATAK Plugin: TAKSat,8,5000,,,atak,com.atakmap.android.gbr.taksatplanner.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.taksatplanner.plugin&hl=tr&gl=tr
ATAK Plugin: GeoCam,8,10000,,,"atak, KOORDINAT",com.atakmap.android.geocam.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.geocam.plugin&hl=tr&gl=tr
Albert: Budgeting and Banking,8,5000000,,mission,,com.meetalbert,,,https://play.google.com/store/apps/details?id=com.meetalbert&hl=tr&gl=tr
WayPoint,8,100,,,"UTM, WAYPOINT",com.gps.waypoint,,,https://play.google.com/store/apps/details?id=com.gps.waypoint&hl=tr&gl=tr
ATAK Plugin: Data Sync,8,10000,,,"atak, tatbikat",com.atakmap.android.datasync.plugin,,0,https://play.google.com/store/apps/details?id=com.atakmap.android.datasync.plugin&hl=tr&gl=tr
Scotia iTRADE mobile,8,100000,,mission,,com.scotiabank.trade,,,https://play.google.com/store/apps/details?id=com.scotiabank.trade&hl=tr&gl=tr
Ranger Quest,8,5000,,ranger,ranger,com.slakkedisstudio.rangerquest,,,https://play.google.com/store/apps/details?id=com.slakkedisstudio.rangerquest&hl=tr&gl=tr
GPS coordinate converter,8,100000,,,"UTM, KOORDINAT, MGRS",kr.sira.gps,,4.6,https://play.google.com/store/apps/details?id=kr.sira.gps&hl=tr&gl=tr
Avenza Maps: Offline Mapping,8,5000000,,OFFLINE MAP,"UTM, KOORDINAT",com.Avenza,,4.47,https://play.google.com/store/apps/details?id=com.Avenza&hl=tr&gl=tr
Karta GPS Offline Maps Nav,8,10000000,,OFFLINE MAP,"UTM, birlik",com.kartatech.karta.gps,,4.12,https://play.google.com/store/apps/details?id=com.kartatech.karta.gps&hl=tr&gl=tr
One Ranger,8,100,,,ranger,com.perfxwireline.rangerenergy.android,,,https://play.google.com/store/apps/details?id=com.perfxwireline.rangerenergy.android&hl=tr&gl=tr
Walkie Talkie - Slide2Talk,8,500000,UTM,Push to Talk,,com.slide2talk.android.app,,4.1235957,https://play.google.com/store/apps/details?id=com.slide2talk.android.app&hl=tr&gl=tr
Warpath: Ace Shooter,8,10000000,UTM,,birlik,com.wondergames.warpath.gp,,4.0639567,https://play.google.com/store/apps/details?id=com.wondergames.warpath.gp&hl=tr&gl=tr
Peloton - Fitness & Workouts,8,1000000,,mission,,com.onepeloton.callisto,,,https://play.google.com/store/apps/details?id=com.onepeloton.callisto&hl=tr&gl=tr
Hinge Dating App: Match & Date,8,10000000,"ranger, ISR",,,co.hinge.app,,3.7962964,https://play.google.com/store/apps/details?id=co.hinge.app&hl=tr&gl=tr
Moadly: Memory Training,8,1000,,,"UTM, MOA",app.moadly.twa,,,https://play.google.com/store/apps/details?id=app.moadly.twa&hl=tr&gl=tr
FINAL FANTASY TACTICS : WotL,8,100000,,"tactical, mission",,com.square_enix.android_googleplay.FFT_en2,,4.25,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFT_en2&hl=tr&gl=tr
TacticMap: Battle map,8,10000,,,"operasyon, UTM, askeri personel, KOORDINAT, MGRS",com.tacticmap.app,,,https://play.google.com/store/apps/details?id=com.tacticmap.app&hl=tr&gl=tr
Yandex Maps and Navigator,8,100000000,KOORDINAT,OFFLINE MAP,,ru.yandex.yandexmaps,,4.55788,https://play.google.com/store/apps/details?id=ru.yandex.yandexmaps&hl=tr&gl=tr
"AllTrails: Hike, Bike & Run",8,10000000,,WAYPOINT,,com.alltrails.alltrails,,4.4752474,https://play.google.com/store/apps/details?id=com.alltrails.alltrails&hl=tr&gl=tr
Merge Match March,8,1000,,,birlik,jp.co.zoo.mergematch,,,https://play.google.com/store/apps/details?id=jp.co.zoo.mergematch&hl=tr&gl=tr
Starlink,8,10000000,,ISR,,com.starlink.mobile,,4.75,https://play.google.com/store/apps/details?id=com.starlink.mobile&hl=tr&gl=tr
Synch Push To Talk (PTT),8,10000,,mission,"birlik, operasyon",com.elbit.italk,,,https://play.google.com/store/apps/details?id=com.elbit.italk&hl=tr&gl=tr
Shift Calendar (Roster),8,100000,,mission,,pro.shineapp.shiftschedule,,3.5,https://play.google.com/store/apps/details?id=pro.shineapp.shiftschedule&hl=tr&gl=tr
Pronunroid - IPA pronunciation,8,100000,,"Phonetic Alphabet, combat",,com.hoardingsinc.pronunroid,,3.7692308,https://play.google.com/store/apps/details?id=com.hoardingsinc.pronunroid&hl=tr&gl=tr
Baritastic - Bariatric Tracker,8,500000,,"in the field, ISR",,com.baritastic.view,,,https://play.google.com/store/apps/details?id=com.baritastic.view&hl=tr&gl=tr
AV Phonetics,8,100000,Phonetic Alphabet,Phonetic Alphabet,,com.hkbu.ulip.avphonetics,,0,https://play.google.com/store/apps/details?id=com.hkbu.ulip.avphonetics&hl=tr&gl=tr
Bell Push-to-talk,8,5000000,,"Push to Talk, mission",,com.bell.ptt,,,https://play.google.com/store/apps/details?id=com.bell.ptt&hl=tr&gl=tr
Bank OZK Cards,8,10000,,mission,,com.a08290727.wallet.cardcontrol,,,https://play.google.com/store/apps/details?id=com.a08290727.wallet.cardcontrol&hl=tr&gl=tr
"komoot - hike, bike & run",8,10000000,WAYPOINT,OFFLINE MAP,,de.komoot.android,,4.47,https://play.google.com/store/apps/details?id=de.komoot.android&hl=tr&gl=tr
Blood Strike - FPS for all,8,50000000,,"squad, mission",,com.netease.newspike,,4.36,https://play.google.com/store/apps/details?id=com.netease.newspike&hl=tr&gl=tr
Lyft,8,50000000,,ISR,,me.lyft.android,,3.55,https://play.google.com/store/apps/details?id=me.lyft.android&hl=tr&gl=tr
Smart Caddie: Golf GPS,8,1000000,,mission,,com.golfbuddy.smartcaddie,,4,https://play.google.com/store/apps/details?id=com.golfbuddy.smartcaddie&hl=tr&gl=tr
TimePipe Go,8,50000,,mission,,com.timepipe.go,,,https://play.google.com/store/apps/details?id=com.timepipe.go&hl=tr&gl=tr
Zepp,8,10000000,,mission,,com.huami.watch.hmwatchmanager,,4.2096295,https://play.google.com/store/apps/details?id=com.huami.watch.hmwatchmanager&hl=tr&gl=tr
Google Fit: Activity Tracking,8,100000000,UTM,mission,,com.google.android.apps.fitness,,3.942857,https://play.google.com/store/apps/details?id=com.google.android.apps.fitness&hl=tr&gl=tr
Operation Sea Lion,7,1000,,combat,"birlik, operasyon",com.cloudworth.sealion,,,https://play.google.com/store/apps/details?id=com.cloudworth.sealion&hl=tr&gl=tr
ATAK Plugin: VNS,7,10000,,,atak,com.atakmap.android.vns.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.vns.plugin&hl=tr&gl=tr
GPS Data,7,1000000,KOORDINAT,,KOORDINAT,com.exatools.gpsdata,,4.43,https://play.google.com/store/apps/details?id=com.exatools.gpsdata&hl=tr&gl=tr
Waypoint TV,7,10000,,WAYPOINT,WAYPOINT,com.waypointtv,,,https://play.google.com/store/apps/details?id=com.waypointtv&hl=tr&gl=tr
Gift Card Manager,7,10000,,mission,"UTM, birlik, ISR",fr.codingtech.giftcardmanager,,,https://play.google.com/store/apps/details?id=fr.codingtech.giftcardmanager&hl=tr&gl=tr
GPS Map Camera,7,100000000,,,"UTM, KOORDINAT, birlik",com.gpsmapcamera.geotagginglocationonphoto,,3.3181818,https://play.google.com/store/apps/details?id=com.gpsmapcamera.geotagginglocationonphoto&hl=tr&gl=tr
My Military OneSource,7,100000,,battlefield,"birlik, askeri personel",mil.dod.mcfp.mymilitaryonesource,,,https://play.google.com/store/apps/details?id=mil.dod.mcfp.mymilitaryonesource&hl=tr&gl=tr
ATAK Plugin: Compass Nav,7,10000,,,atak,com.atakmap.android.compassnav.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.compassnav.plugin&hl=tr&gl=tr
Modern Strike Online: War FPS,7,100000000,UTM,,"birlik, operasyon",com.gamedevltd.modernstrike,,4.426246,https://play.google.com/store/apps/details?id=com.gamedevltd.modernstrike&hl=tr&gl=tr
Geo: Convert GPS Coordinates,7,100000,,,"UTM, KOORDINAT, MGRS",com.rmtheis.geo,,4.5555553,https://play.google.com/store/apps/details?id=com.rmtheis.geo&hl=tr&gl=tr
Sky Defense: War Duty,7,10000000,,mission,"birlik, combat",com.horus.sky.defense,,4.27,https://play.google.com/store/apps/details?id=com.horus.sky.defense&hl=tr&gl=tr
Battlefield Stats - BF1 - BF5,7,1000,,battlefield,battlefield,com.elitewise.battlefieldstats,,,https://play.google.com/store/apps/details?id=com.elitewise.battlefieldstats&hl=tr&gl=tr
Once Human,7,5000000,UTM,,"UTM, atak, birlik",com.h73.jhqyna,,3.859813,https://play.google.com/store/apps/details?id=com.h73.jhqyna&hl=tr&gl=tr
